refset;algorithm;variation;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
Teslovich;KNN9;normal;500;60,0;71,0;67,38536948563628;0,5210518678469158;12,0;29,0;46,0;58,0;6,295774647887324;4,0;68,20563695563695;0,5458121244759588;10,0;33,0;42,0;55,0;5,714285714285714;3,0
Teslovich;KNN9;normal;1000;76,0;94,0;71,12417016237733;0,5604932381636383;12,0;25,0;44,0;64,0;9,425531914893616;6,0;69,84606803235181;0,5963785213315989;9,0;24,0;41,0;58,0;8,10126582278481;5,0
Teslovich;KNN9;normal;2000;89,0;121,0;67,36978054685545;0,5111096762022874;2,0;13,0;33,0;53,0;21,611570247933884;12,0;69,1925308087575;0,6090428133733123;3,0;20,0;29,0;51,0;13,91304347826087;9,0
Teslovich;KNN9;graphlet;100;22,0;24,0;79,48943661971832;0,7258741258741259;13,0;20,0;23,0;24,0;2,0;1,0;70,52238805970148;0,6005494505494506;10,0;19,0;21,0;22,0;2,227272727272727;2,0
Teslovich;KNN9;graphlet;500;60,0;71,0;71,43388968170254;0,5975387103666592;19,0;34,0;45,0;63,0;5,464788732394366;4,0;71,4298433048433;0,6482643357343698;15,0;30,0;44,0;57,0;4,714285714285714;4,0
Teslovich;KNN9;graphlet;1000;76,0;94,0;70,10254084627692;0,5570489354534628;12,0;30,0;47,0;58,0;9,936170212765957;5,5;66,92082085053934;0,5898383224301146;12,0;27,0;37,0;56,0;9,253164556962025;6,0
Teslovich;KNN9;graphlet;2000;89,0;121,0;68,62596206634709;0,5469612991097585;4,0;21,0;35,0;56,0;19,90909090909091;12,0;71,42018433722522;0,634721471381543;5,0;16,0;32,0;56,0;13,076086956521738;8,0
Teslovich;KNN9;autoencode;100;22,0;24,0;64,14319248826291;0,47869630369630367;7,0;17,0;21,0;24,0;2,75;2,0;62,483039348711;0,49770229770229774;7,0;16,0;21,0;21,0;2,772727272727273;2,0
Teslovich;KNN9;autoencode;500;60,0;71,0;63,65328535087175;0,49132753133761253;8,0;27,0;41,0;60,0;7,042253521126761;5,0;63,67648555148556;0,5123396160046113;9,0;27,0;36,0;50,0;6,412698412698413;4,0
Teslovich;KNN9;autoencode;1000;76,0;94,0;70,50376025093534;0,5269755199586953;8,0;25,0;44,0;62,0;9,702127659574469;6,0;68,00266299605047;0,5685293248000003;7,0;25,0;38,0;58,0;8,873417721518987;6,0
Teslovich;KNN9;autoencode;2000;89,0;121,0;67,33812359463114;0,522063338753802;5,0;19,0;28,0;49,0;20,93388429752066;14,0;70,506780135161;0,6160056231731714;3,0;13,0;31,0;56,0;13,195652173913043;9,0
Teslovich;KNN9;combi;100;22,0;24,0;66,07981220657277;0,6115634365634365;9,0;19,0;21,0;24,0;2,6666666666666665;2,0;68,58887381275441;0,5915334665334665;8,0;19,0;21,0;22,0;2,272727272727273;2,0
Teslovich;KNN9;combi;500;60,0;71,0;69,51148890405577;0,5615817129699973;13,0;34,0;47,0;59,0;6,225352112676056;4,0;66,10068172568174;0,5742358418547845;12,0;28,0;41,0;53,0;6,142857142857143;4,0
Teslovich;KNN9;combi;1000;76,0;94,0;68,87683761006764;0,5173474508210659;9,0;22,0;42,0;64,0;10,617021276595745;6,5;65,53849198852032;0,5339065354615574;8,0;22,0;35,0;52,0;9,860759493670885;6,0
Teslovich;KNN9;combi;2000;89,0;121,0;65,82185023842628;0,5295809791210019;6,0;18,0;26,0;45,0;22,24793388429752;14,0;68,31795962838086;0,6064499191513925;2,0;11,0;29,0;52,0;14,478260869565217;8,0
Teslovich;RF;normal;100;22,0;24,0;64,43661971830986;0,5424825174825175;9,0;17,0;21,0;24,0;2,875;2,0;59,26051560379918;0,45981518481518485;7,0;16,0;20,0;22,0;2,9545454545454546;2,5
Teslovich;RF;normal;500;60,0;71,0;65,74838162602633;0,5325271977629396;9,0;31,0;44,0;57,0;7,014084507042254;4,0;62,63863451363451;0,5301852474539609;11,0;25,0;36,0;50,0;6,4603174603174605;4,0
Teslovich;RF;normal;1000;76,0;94,0;68,48191678319036;0,555627752311271;12,0;31,0;43,0;60,0;11,702127659574469;6,0;63,0243898050435;0,5124135490865531;8,0;20,0;35,0;53,0;10,79746835443038;6,0
Teslovich;RF;normal;2000;89,0;121,0;66,74200530490589;0,5124672720331133;5,0;18,0;28,0;57,0;23,776859504132233;13,0;62,94023027429731;0,4964448609341717;2,0;14,0;27,0;47,0;18,804347826086957;10,0
Teslovich;RF;graphlet;100;22,0;24,0;69,98239436619718;0,6416083916083916;10,0;19,0;21,0;24,0;2,625;2,0;66,31614654002713;0,577097902097902;8,0;19,0;20,0;21,0;2,6818181818181817;2,0
Teslovich;RF;graphlet;500;60,0;71,0;64,25823664453682;0,49525892355332973;10,0;28,0;42,0;56,0;7,295774647887324;4,0;61,53973341473342;0,4997475863110431;10,0;24,0;36,0;51,0;6,888888888888889;4,0
