refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;KNN;combo;binary;no expression;500;135,0;144,0;82,0147966594045;0,7138189271446144;49,0;90,0;115,0;137,0;3,8055555555555554;2,5;73,21169208424111;0,6020975288316714;27,0;78,0;98,0;121,0;5,6875;3,0
farashi;KNN;combo;binary;no expression;1000;173,0;185,0;83,22639020313439;0,7230798936948015;45,0;95,0;129,0;158,0;5,816216216216216;3,0;74,61890717704671;0,6482112208055606;21,0;62,0;91,0;139,0;8,68108108108108;6,0
farashi;KNN;combo;binary;no expression;2000;194,0;208,0;84,980677764566;0,7582320986445584;42,0;93,0;126,0;166,0;8,01923076923077;4,0;79,02254387837027;0,7202466841768519;20,0;56,0;94,0;140,0;10,682692307692308;6,0
farashi;KNN;combo;normal;diff expression;100;54,0;215,0;80,6933385888845;0,6890548129583217;30,0;80,0;113,0;178,0;7,725581395348837;5,0;70,55340953882538;0,681956047526223;26,0;63,0;84,0;126,0;9,93953488372093;8,0
farashi;KNN;combo;normal;diff expression;500;135,0;531,0;89,20809758297295;0,7357667262981232;54,0;157,0;233,0;316,0;12,772128060263654;7,0;69,76304857660791;0,6172439540348122;31,0;88,0;119,0;148,0;63,46892655367232;21,0
farashi;KNN;combo;normal;diff expression;1000;173,0;664,0;91,34185826463695;0,7441122079821446;51,0;151,0;242,0;353,0;16,64156626506024;8,5;72,9423923543576;0,6581153109525062;24,0;76,0;108,0;145,0;88,97740963855422;33,0
farashi;KNN;combo;normal;diff expression;2000;194,0;736,0;91,9731980480409;0,7824031790807535;59,0;170,0;268,0;390,0;20,53804347826087;9,0;73,99596851780588;0,7161004348720069;12,0;49,0;88,0;132,0;96,16440217391305;61,0
farashi;KNN;combo;normal;no expression;100;54,0;55,0;76,95652173913045;0,7362654320987654;32,0;51,0;54,0;55,0;1,7454545454545454;1,0;78,39262187088273;0,7324074074074075;30,0;52,0;55,0;55,0;1,6727272727272726;1,0
farashi;KNN;combo;normal;no expression;500;135,0;144,0;80,78683072555621;0,7191089549207467;42,0;79,0;113,0;140,0;3,736111111111111;3,0;70,65446127946127;0,573388042766667;22,0;73,0;99,0;120,0;6,694444444444445;3,0
farashi;KNN;combo;normal;no expression;1000;173,0;185,0;83,78958565005077;0,7345014551519337;41,0;88,0;129,0;166,0;5,389189189189189;4,0;74,80808945925226;0,6597195721914054;25,0;63,0;97,0;134,0;8,562162162162162;5,0
