refset;algorithm;variation;binary;expression;bp distance;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;SVM;incoming;normal;diff expression;500;121,0;492,0;85,32319521990401;0,683284438250787;50,0;132,0;200,0;308,0;23,459349593495936;7,0;70,22320175008979;0,5513595404677384;32,0;86,0;149,0;240,0;60,8150406504065;11,0
farashi;SVM;incoming;normal;diff expression;1000;159,0;613,0;85,34800000644577;0,6288452202183776;37,0;104,0;168,0;287,0;36,35889070146819;12,0;67,98408535082004;0,48350418431307074;16,0;48,0;92,0;167,0;119,24796084828711;40,0
farashi;SVM;incoming;normal;diff expression;2000;180,0;680,0;85,83462980103324;0,6712765268365636;40,0;124,0;199,0;303,0;45,502941176470586;15,0;64,76124754108763;0,4787735466394375;15,0;47,0;81,0;138,0;180,96617647058824;68,0
farashi;SVM;incoming;normal;no expression;100;45,0;46,0;75,69475571492605;0,6940211640211641;25,0;44,0;46,0;46,0;1,6521739130434783;1,0;73,40878529807262;0,6703174603174603;25,0;42,0;46,0;46,0;1,7391304347826086;1,0
farashi;SVM;incoming;normal;no expression;500;121,0;130,0;78,95269468186136;0,7018138644847798;42,0;87,0;103,0;121,0;4,246153846153846;2,0;68,3300688509022;0,5659249531206623;23,0;62,0;86,0;113,0;6,2;4,0
farashi;SVM;incoming;normal;no expression;1000;159,0;170,0;73,98099694423225;0,6074800388627465;21,0;62,0;98,0;136,0;8,076470588235294;5,0;64,12270817417877;0,4629842935473192;11,0;43,0;72,0;112,0;11,905882352941177;7,0
farashi;SVM;incoming;normal;no expression;2000;180,0;192,0;72,41906258587524;0,6141863913692407;32,0;51,0;70,0;110,0;13,328125;8,0;63,255100989282774;0,4912132191854419;13,0;22,0;48,0;89,0;18,541666666666668;11,0
farashi;SVM;outgoing;binary;diff expression;100;50,0;210,0;74,52991452991454;0,6545809523809524;25,0;75,0;110,0;165,0;9,49047619047619;5,0;44,25264550264551;0,42779047619047617;15,0;42,0;56,0;63,0;17,11904761904762;17,0
farashi;SVM;outgoing;binary;diff expression;500;128,0;511,0;89,65675392138374;0,7257016938775248;54,0;151,0;223,0;349,0;11,285714285714286;6,0;70,39577466034459;0,5472025538748508;23,0;67,0;107,0;235,0;65,93150684931507;12,0
farashi;SVM;outgoing;binary;diff expression;1000;164,0;642,0;89,78700293477873;0,6999188570693575;51,0;148,0;221,0;356,0;21,35514018691589;9,0;69,57404817098048;0,4944895587611997;19,0;51,0;82,0;150,0;128,8753894080997;26,0
farashi;SVM;outgoing;binary;diff expression;2000;182,0;705,0;89,17018360478363;0,7290483581407342;55,0;157,0;243,0;374,0;31,520567375886525;9,0;69,87956686606877;0,4882199747685753;15,0;44,0;77,0;146,0;169,7858156028369;38,0
farashi;SVM;outgoing;binary;no expression;100;50,0;51,0;76,40819964349377;0,7392857142857143;31,0;49,0;50,0;51,0;1,6470588235294117;1,0;63,8680926916221;0,5714285714285714;23,0;48,0;50,0;51,0;1,9803921568627452;2,0
farashi;SVM;outgoing;binary;no expression;500;128,0;137,0;82,43238353218503;0,6945058750099119;41,0;102,0;116,0;130,0;3,6350364963503647;2,0;67,00802299373461;0,5545959754181929;23,0;57,0;91,0;113,0;6,350364963503649;4,0
farashi;SVM;outgoing;binary;no expression;1000;164,0;176,0;82,19033578417974;0,7020909893865067;43,0;104,0;120,0;152,0;5,926136363636363;3,0;64,55508937845079;0,49548946673890565;17,0;48,0;69,0;112,0;12,454545454545455;7,0
farashi;SVM;outgoing;binary;no expression;2000;182,0;196,0;82,76908618675351;0,7260398308578031;46,0;102,0;117,0;144,0;8,607142857142858;3,0;61,21471376754455;0,4441315084841233;6,0;20,0;36,0;72,0;20,637755102040817;12,5
farashi;SVM;outgoing;normal;diff expression;100;50,0;210,0;76,86507936507935;0,6808571428571429;29,0;71,0;107,0;169,0;8,147619047619047;5,0;65,92083842083841;0,563;22,0;56,0;83,0;127,0;10,633333333333333;8,0
farashi;SVM;outgoing;normal;diff expression;500;128,0;511,0;83,95939570019421;0,6246009289676138;38,0;117,0;179,0;320,0;23,38160469667319;8,0;72,75224261465716;0,5364348223685992;33,0;101,0;155,0;287,0;57,18003913894325;9,0
farashi;SVM;outgoing;normal;diff expression;1000;164,0;642,0;84,119561682055;0,6331562572997473;40,0;118,0;180,0;309,0;45,598130841121495;11,0;71,16488248664685;0,5152457961348524;29,0;85,0;134,0;241,0;114,28504672897196;32,0
farashi;SVM;outgoing;normal;diff expression;2000;182,0;705,0;84,23992406028118;0,6361117050287993;36,0;103,0;162,0;257,0;52,280851063829786;15,0;70,65256673635183;0,5163066073427538;22,0;66,0;114,0;184,0;158,63120567375887;40,0
farashi;SVM;outgoing;normal;no expression;100;50,0;51,0;67,07664884135474;0,6295714285714287;26,0;44,0;51,0;51,0;1,9411764705882353;1,0;62,23707664884135;0,5345714285714286;21,0;43,0;51,0;51,0;2,0784313725490198;2,0
farashi;SVM;outgoing;normal;no expression;500;128,0;137,0;74,42541510721449;0,6254270806928389;36,0;80,0;98,0;121,0;5,072992700729927;3,0;67,52962097557949;0,5642540412329022;26,0;69,0;82,0;109,0;6,423357664233577;3,0
farashi;SVM;outgoing;normal;no expression;1000;164,0;176,0;77,7410587383152;0,653694866614867;40,0;83,0;101,0;142,0;7,107954545454546;4,0;71,39436874760838;0,5865247248982397;32,0;64,0;85,0;126,0;9,664772727272727;6,0
farashi;SVM;outgoing;normal;no expression;2000;182,0;196,0;73,55238341985589;0,6294677632378752;28,0;62,0;76,0;117,0;12,755102040816327;8,5;63,07360745906942;0,5074902356394408;17,0;32,0;49,0;82,0;20,01530612244898;11,5
farashi;DT;incoming;binary;diff expression;100;45,0;193,0;77,12932074668181;0,6942900511752972;25,0;68,0;100,0;159,0;10,756476683937823;5,0;69,0958667518395;0,6598022378350247;23,0;56,0;75,0;113,0;9,906735751295336;8,0
farashi;DT;incoming;binary;diff expression;500;121,0;492,0;88,9968981617527;0,7334032437479403;51,0;144,0;213,0;297,0;11,176829268292684;7,0;70,76204003003886;0,5900193124029823;24,0;66,0;101,0;161,0;50,042682926829265;17,0
