refset;algorithm;variation;weighted;bp distance;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso);ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi p-value cutoff;LR;normal;unweighted;100;64,4776119402985;0,5798611111111112;11,0;21,0;23,0;24,0;2,6;2,0;70,47761194029852;0,6569444444444444;7,0;23,0;25,0;25,0;1,96;2,0
farashi p-value cutoff;LR;normal;unweighted;500;69,13516363352339;0,5795388653363124;19,0;29,0;34,0;46,0;7,919354838709677;4,0;75,08494102944623;0,6594426860058528;16,0;38,0;46,0;50,0;6,580645161290323;3,0
farashi p-value cutoff;LR;normal;unweighted;1000;67,66903282535652;0,5097846152477811;8,0;23,0;28,0;51,0;15,216867469879517;7,0;78,81463019793044;0,70959361827694;20,0;42,0;49,0;59,0;9,012048192771084;3,0
farashi p-value cutoff;LR;normal;unweighted;2000;62,9897031052708;0,483302515239088;6,0;11,0;21,0;35,0;25,48913043478261;17,0;81,73237012950733;0,7685090949087656;21,0;42,0;50,0;59,0;10,826086956521738;5,0
farashi p-value cutoff;LR;graphlet;weighted;100;62,238805970149244;0,5756944444444445;9,0;19,0;25,0;25,0;2,36;2,0;78,53731343283582;0,8027777777777777;13,0;23,0;25,0;25,0;1,72;1,0
farashi p-value cutoff;LR;graphlet;weighted;500;71,58869015074592;0,6010663864641058;22,0;30,0;36,0;48,0;7,354838709677419;4,0;73,6253221901117;0,630135226853793;16,0;36,0;44,0;49,0;6,854838709677419;3,0
farashi p-value cutoff;LR;graphlet;weighted;1000;68,6164668339865;0,5397610203106376;9,0;23,0;28,0;52,0;14,614457831325302;7,0;78,28442819125706;0,6985891272523713;20,0;40,0;49,0;58,0;9,132530120481928;4,0
farashi p-value cutoff;LR;graphlet;weighted;2000;63,597013174214744;0,48924926314927697;6,0;12,0;22,0;35,0;24,902173913043477;15,5;81,25439978545808;0,7631228004735064;20,0;39,0;48,0;58,0;11,08695652173913;5,0
farashi p-value cutoff;LR;graphlet;unweighted;100;62,35820895522388;0,5486111111111112;10,0;20,0;23,0;24,0;2,68;2,0;70,68656716417911;0,6631944444444444;8,0;23,0;25,0;25,0;1,96;2,0
farashi p-value cutoff;LR;graphlet;unweighted;500;71,14836366476607;0,6226485593619547;21,0;31,0;36,0;47,0;7,5;3,5;73,60579551667578;0,6433437886908322;14,0;34,0;45,0;50,0;6,806451612903226;3,0
farashi p-value cutoff;LR;graphlet;unweighted;1000;67,51704740663962;0,5031215587708749;6,0;23,0;28,0;51,0;15,240963855421686;7,0;78,89499030437847;0,7026571083519807;20,0;41,0;49,0;60,0;9,012048192771084;4,0
farashi p-value cutoff;LR;graphlet;unweighted;2000;63,25131574536557;0,4825792189009322;6,0;11,0;21,0;35,0;25,282608695652176;16,5;81,3993831919815;0,7609502006805442;20,0;40,0;49,0;59,0;11,0;5,0
farashi p-value cutoff;LR;autoencode;weighted;100;65,70149253731343;0,6395833333333334;11,0;20,0;25,0;25,0;2,24;2,0;76,98507462686567;0,7194444444444444;11,0;23,0;25,0;25,0;1,76;2,0
farashi p-value cutoff;LR;autoencode;weighted;500;76,59630555338592;0,6605333457580149;21,0;35,0;41,0;51,0;5,758064516129032;2,5;74,22283839725064;0,6432148048872796;18,0;35,0;46,0;49,0;6,790322580645161;3,0
