Gene rank;DEPICT For SNP rank;predicates For SNP rank;node2vec normal For SNP rank;node2vec graphlet For SNP rank;node2vec autoencode For SNP rank;node2vec combi For SNP rank;network distance For SNP rank;EVOKE For SNP rank;rdf2vec For SNP rank;struc2vec For SNP rank;Recall snps;Recall genes;Recall entries;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
True;True;True;False;False;True;False;False;False;True;True;79,0;192,0;79,0;81,71973892405063;0,76984787919165;56,0;72,0;76,0;78,0;1,6708860759493671;1,0
True;True;True;False;False;False;True;True;True;False;False;79,0;192,0;79,0;82,84711234177216;0,8071127185051236;58,0;73,0;78,0;78,0;1,9493670886075949;1,0
True;True;True;False;False;False;True;True;False;True;False;79,0;192,0;79,0;83,984375;0,8166063893911994;60,0;75,0;77,0;78,0;1,9367088607594938;1,0
True;True;True;False;False;False;True;True;False;False;True;79,0;192,0;79,0;81,5021756329114;0,7932489451476795;56,0;73,0;76,0;78,0;2,0253164556962027;1,0
True;True;True;False;False;False;True;False;True;True;False;79,0;192,0;79,0;82,25870253164557;0,7909885473176612;58,0;71,0;78,0;78,0;1,9746835443037976;1,0
True;True;True;False;False;False;True;False;True;False;True;79,0;192,0;79,0;79,78144778481013;0,7657791630976175;55,0;71,0;77,0;78,0;2,050632911392405;1,0
True;True;True;False;False;False;True;False;False;True;True;79,0;192,0;79,0;81,87302215189874;0,796897306557533;57,0;72,0;77,0;78,0;2,0;1,0
True;True;True;False;False;False;False;True;True;True;False;79,0;192,0;79,0;81,52689873417721;0,7867691380349608;57,0;72,0;77,0;78,0;2,0;1,0
True;True;True;False;False;False;False;True;True;False;True;79,0;192,0;79,0;80,48852848101266;0,7761333714031915;54,0;73,0;78,0;78,0;1,9620253164556962;1,0
True;True;True;False;False;False;False;True;False;True;True;79,0;192,0;79,0;81,00276898734178;0,7762959614225438;56,0;72,0;76,0;78,0;2,050632911392405;1,0
True;True;True;False;False;False;False;False;True;True;True;79,0;192,0;79,0;83,05973101265823;0,7992330509818851;59,0;71,0;78,0;78,0;1,9240506329113924;1,0
True;True;False;True;True;True;True;False;False;False;False;87,0;228,0;87,0;77,31848361533518;0,7185244587008821;56,0;76,0;82,0;86,0;1,9655172413793103;1,0
True;True;False;True;True;True;False;True;False;False;False;87,0;228,0;87,0;80,55615049618048;0,7480842911877394;57,0;81,0;84,0;86,0;1,793103448275862;1,0
True;True;False;True;True;True;False;False;True;False;False;87,0;228,0;87,0;74,53773113443278;0,6776135741652982;51,0;75,0;82,0;86,0;2,045977011494253;1,0
True;True;False;True;True;True;False;False;False;True;False;87,0;228,0;87,0;78,4607696151924;0,7257083667468591;57,0;76,0;83,0;86,0;1,896551724137931;1,0
True;True;False;True;True;True;False;False;False;False;True;87,0;228,0;87,0;78,47861783394018;0,7314554931836407;55,0;79,0;84,0;86,0;1,839080459770115;1,0
True;True;False;True;True;False;True;True;False;False;False;87,0;228,0;87,0;81,72699364603412;0,7734674329501916;61,0;80,0;83,0;86,0;1,8160919540229885;1,0
True;True;False;True;True;False;True;False;True;False;False;87,0;228,0;87,0;77,84679089026915;0,7276240755591196;57,0;75,0;83,0;86,0;1,9655172413793103;1,0
True;True;False;True;True;False;True;False;False;True;False;87,0;228,0;87,0;77,65403012779323;0,7259820394343249;56,0;75,0;82,0;86,0;1,9770114942528736;1,0
True;True;False;True;True;False;True;False;False;False;True;87,0;228,0;87,0;79,79938602127507;0,759914270439531;58,0;80,0;84,0;86,0;1,8275862068965518;1,0
True;True;False;True;True;False;False;True;True;False;False;87,0;228,0;87,0;80,45263082744341;0,7575031928480205;59,0;79,0;83,0;86,0;1,839080459770115;1,0
True;True;False;True;True;False;False;True;False;True;False;87,0;228,0;87,0;79,3174841150853;0,733397190293742;58,0;78,0;83,0;86,0;1,8735632183908046;1,0
True;True;False;True;True;False;False;True;False;False;True;87,0;228,0;87,0;81,74841150853145;0,7701149425287356;61,0;81,0;83,0;86,0;1,8275862068965518;1,0
True;True;False;True;True;False;False;False;True;True;False;87,0;228,0;87,0;77,46126936531734;0,7247080824667032;57,0;73,0;83,0;86,0;1,9540229885057472;1,0
True;True;False;True;True;False;False;False;True;False;True;87,0;228,0;87,0;77,70757478403655;0,7273047907570762;54,0;78,0;84,0;86,0;1,896551724137931;1,0
True;True;False;True;True;False;False;False;False;True;True;87,0;228,0;87,0;80,20275576497465;0,7470548363691908;59,0;77,0;84,0;86,0;1,8160919540229885;1,0
True;True;False;True;False;True;True;True;False;False;False;87,0;228,0;87,0;80,78817733990147;0,7674466338259442;59,0;81,0;83,0;86,0;1,839080459770115;1,0
True;True;False;True;False;True;True;False;True;False;False;87,0;228,0;87,0;76,34040122795746;0,7011494252873564;53,0;78,0;84,0;86,0;1,9540229885057472;1,0
True;True;False;True;False;True;True;False;False;True;False;87,0;228,0;87,0;79,19968587135003;0,7389130739170835;56,0;78,0;84,0;86,0;1,839080459770115;1,0
True;True;False;True;False;True;True;False;False;False;True;87,0;228,0;87,0;78,03955165274505;0,7314554931836407;55,0;78,0;83,0;86,0;1,896551724137931;1,0
True;True;False;True;False;True;False;True;True;False;False;87,0;228,0;87,0;79,42814307132149;0,7465074909942594;56,0;80,0;84,0;86,0;1,8045977011494252;1,0
True;True;False;True;False;True;False;True;False;True;False;87,0;228,0;87,0;83,775969158278;0,7825670498084293;62,0;80,0;85,0;86,0;1,6666666666666667;1,0
