refset;bp distance;algorithm;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
DeRycke;2000;KNN9;57,017722459595035;0,4807665599072926;8,0;19,0;33,0;56,0;25,965714285714284;18,0
DeRycke;2000;RF;56,05796024521642;0,4873123325328848;3,0;11,0;31,0;60,0;26,222857142857144;16,0
farashi;100;LR;77,33201581027667;0,7493827160493827;28,0;53,0;55,0;55,0;1,6727272727272726;1,0
farashi;100;SVM;72,89855072463767;0,6751543209876544;27,0;50,0;54,0;55,0;1,9272727272727272;2,0
farashi;100;DT;71,42951251646903;0,7067901234567903;29,0;48,0;54,0;55,0;1,981818181818182;1,0
farashi;100;KNN1;71,70619235836627;0,686111111111111;27,0;49,0;54,0;55,0;1,9272727272727272;2,0
farashi;100;KNN3;70,88932806324111;0,6685185185185184;28,0;49,0;55,0;55,0;1,9272727272727272;1,0
farashi;100;KNN5;70,566534914361;0,6756172839506173;29,0;47,0;55,0;55,0;1,9636363636363636;1,0
farashi;100;KNN7;68,03030303030303;0,6287037037037037;26,0;47,0;55,0;55,0;2,036363636363636;2,0
farashi;100;KNN9;66,08036890645586;0,6049382716049384;25,0;46,0;54,0;55,0;2,1272727272727274;2,0
farashi;100;RF;60,78392621870883;0,5429012345679012;18,0;46,0;51,0;55,0;2,3454545454545452;2,0
farashi;500;LR;75,97172707466825;0,661498309812953;40,0;89,0;109,0;121,0;5,659722222222222;3,0
farashi;500;SVM;64,56889152967584;0,4699128964379292;14,0;55,0;78,0;114,0;7,583333333333333;5,0
farashi;500;DT;66,11313296362316;0,4753984533523195;15,0;55,0;86,0;117,0;7,256944444444445;5,0
farashi;500;KNN1;66,40733313527431;0,4776191811728376;18,0;55,0;82,0;119,0;7,104166666666667;5,0
farashi;500;KNN3;65,47542417640456;0,49138254180753893;13,0;55,0;76,0;117,0;7,006944444444445;5,0
farashi;500;KNN5;66,06464976563015;0,5161077753360208;13,0;54,0;81,0;117,0;6,944444444444445;5,0
farashi;500;KNN7;64,64646464646464;0,4886816971526894;17,0;51,0;76,0;119,0;7,305555555555555;5,0
farashi;500;KNN9;64,14162045289495;0,4751178748721108;16,0;47,0;80,0;118,0;7,486111111111111;5,0
farashi;500;RF;63,90394962698883;0,4816714625781321;27,0;53,0;72,0;108,0;7,868055555555555;5,5
farashi;1000;LR;78,83935046725745;0,7085352280970281;44,0;96,0;119,0;139,0;7,589189189189189;3,0
farashi;1000;SVM;63,71381603939743;0,4633393307698857;12,0;42,0;72,0;106,0;13,989189189189188;9,0
farashi;1000;DT;64,36037877898343;0,4661217482513165;13,0;38,0;78,0;107,0;13,864864864864865;8,0
farashi;1000;KNN1;63,50543234264164;0,4533699432865406;11,0;38,0;75,0;107,0;14,102702702702702;8,0
farashi;1000;KNN3;63,727077448007684;0,45461661406612086;11,0;36,0;64,0;107,0;13,821621621621622;8,0
farashi;1000;KNN5;66,16917965755175;0,4885971226987642;10,0;37,0;67,0;113,0;12,232432432432432;8,0
farashi;1000;KNN7;66,67511620999993;0,50775278985962;12,0;38,0;65,0;118,0;12,12972972972973;8,0
farashi;1000;KNN9;66,29101884915838;0,5108504492213305;12,0;35,0;64,0;114,0;12,064864864864864;8,0
farashi;1000;RF;65,56889370842859;0,49922203286747246;22,0;53,0;73,0;115,0;13,345945945945946;8,0
farashi;2000;LR;81,01009177109059;0,7607046257002676;44,0;96,0;119,0;140,0;9,966346153846153;4,0
farashi;2000;SVM;60,849003272457495;0,4624464322285457;8,0;21,0;42,0;77,0;23,923076923076923;16,0
