refset;bp distance;algorithm;Recall snps;Recall genes;ROC-AUC overall (lso);ROC-AUC - mean per snpl (lso);Hits@1(lso);Hits@3(lso);Hits@5(lso);Hits@10(lso);Mean rank (lso);Median rank (lso)
DeRycke;1000;KNN5;95,0;157,0;78,51535665455029;0,7246828285724117;21,0;76,0;100,0;124,0;6,910828025477707;4,0
DeRycke;1000;KNN7;95,0;157,0;75,99276353086337;0,7211084421733567;28,0;66,0;86,0;120,0;7,917197452229299;5,0
DeRycke;1000;KNN9;95,0;157,0;74,19731883816321;0,7039571272813969;24,0;65,0;87,0;116,0;8,554140127388536;4,0
DeRycke;1000;RF;95,0;157,0;86,78977556941341;0,8581022402746482;56,0;97,0;119,0;139,0;4,624203821656051;3,0
DeRycke;2000;LR;106,0;175,0;56,91376555823891;0,49440062873028967;8,0;17,0;33,0;55,0;26,52;18,0
DeRycke;2000;SVM;106,0;175,0;70,69559725060375;0,6760560353899729;25,0;48,0;67,0;92,0;16,251428571428573;10,0
DeRycke;2000;DT;106,0;175,0;87,832955600966;0,8702222175822962;68,0;115,0;119,0;138,0;6,548571428571429;2,0
DeRycke;2000;KNN1;106,0;175,0;87,66442504179825;0,8534976766776753;67,0;111,0;116,0;137,0;6,588571428571429;2,0
DeRycke;2000;KNN3;106,0;175,0;83,73211963589077;0,8301060104665607;40,0;80,0;100,0;127,0;8,211428571428572;4,0
DeRycke;2000;KNN5;106,0;175,0;80,70652052758685;0,8054762917637965;23,0;67,0;91,0;123,0;9,6;5,0
DeRycke;2000;KNN7;106,0;175,0;79,96046814044213;0,7861163839429745;23,0;71,0;90,0;123,0;10,074285714285715;5,0
DeRycke;2000;KNN9;106,0;175,0;77,39164034924764;0,7657007591603906;17,0;56,0;91,0;117,0;11,6;5,0
DeRycke;2000;RF;106,0;175,0;86,57142857142857;0,8845872437161688;64,0;99,0;114,0;142,0;7,457142857142857;3,0
farashi;100;LR;54,0;55,0;66,44268774703558;0,6311728395061729;26,0;45,0;53,0;55,0;2,1818181818181817;2,0
farashi;100;SVM;54,0;55,0;78,20816864295125;0,7361111111111113;35,0;50,0;54,0;55,0;1,709090909090909;1,0
farashi;100;DT;54,0;55,0;77,1870882740448;0,7577160493827161;35,0;49,0;53,0;55,0;1,8;1,0
farashi;100;KNN1;54,0;55,0;78,7878787878788;0,7717592592592593;34,0;52,0;55,0;55,0;1,6727272727272726;1,0
farashi;100;KNN3;54,0;55,0;77,52964426877472;0,7532407407407408;33,0;51,0;55,0;55,0;1,7272727272727273;1,0
farashi;100;KNN5;54,0;55,0;73,28063241106719;0,6689814814814816;27,0;50,0;54,0;55,0;1,8545454545454545;2,0
farashi;100;KNN7;54,0;55,0;70,12516469038209;0,6544753086419753;23,0;50,0;55,0;55,0;1,9636363636363636;2,0
farashi;100;KNN9;54,0;55,0;71,09354413702239;0,6655864197530863;27,0;48,0;55,0;55,0;1,9454545454545455;2,0
farashi;100;RF;54,0;55,0;81,4163372859025;0,789814814814815;36,0;49,0;55,0;55,0;1,6;1,0
farashi;500;LR;135,0;144,0;65,43230507691291;0,5156383693105369;22,0;57,0;78,0;113,0;7,465277777777778;5,0
farashi;500;SVM;135,0;144,0;79,46519937941507;0,6813387337253952;41,0;91,0;106,0;135,0;4,298611111111111;3,0
farashi;500;DT;135,0;144,0;85,63061167227833;0,7605815472009986;54,0;103,0;121,0;138,0;3,201388888888889;2,0
farashi;500;KNN1;135,0;144,0;84,25327622631545;0,7244572678973257;50,0;94,0;119,0;138,0;3,3125;2,0
farashi;500;KNN3;135,0;144,0;80,65644186967717;0,7161135390913583;42,0;84,0;114,0;136,0;3,861111111111111;3,0
farashi;500;KNN5;135,0;144,0;79,2832326533307;0,7131988975577419;37,0;83,0;109,0;134,0;4,131944444444445;3,0
farashi;500;KNN7;135,0;144,0;79,47180134680136;0,7039491290505645;40,0;80,0;114,0;134,0;4,090277777777778;3,0
farashi;500;KNN9;135,0;144,0;78,51926123984947;0,6834201384005328;38,0;81,0;111,0;129,0;4,3125;3,0
farashi;500;RF;135,0;144,0;84,70035320525517;0,7847261195682894;52,0;99,0;119,0;139,0;3,236111111111111;2,0
farashi;1000;LR;173,0;185,0;65,12145930750583;0,48262106803394295;17,0;42,0;69,0;112,0;13,2;8,0
farashi;1000;SVM;173,0;185,0;77,00768747280375;0,6594308990557085;31,0;84,0;105,0;140,0;8,243243243243244;4,0
farashi;1000;DT;173,0;185,0;86,22312319986737;0,7377334237139662;58,0;118,0;137,0;164,0;4,924324324324324;2,0
farashi;1000;KNN1;173,0;185,0;85,6616544988638;0,7250389450129777;51,0;113,0;136,0;164,0;5,0;2,0
farashi;1000;KNN3;173,0;185,0;84,33800015195364;0,7213022750008774;43,0;104,0;125,0;166,0;5,183783783783784;3,0
farashi;1000;KNN5;173,0;185,0;82,91205337716966;0,7188119157616499;37,0;97,0;116,0;156,0;5,508108108108108;3,0
farashi;1000;KNN7;173,0;185,0;82,23123199867386;0,7142504271644076;38,0;97,0;120,0;155,0;5,875675675675676;3,0
farashi;1000;KNN9;173,0;185,0;80,48500839198515;0,6936884818178745;26,0;89,0;118,0;150,0;6,486486486486487;4,0
farashi;1000;RF;173,0;185,0;87,59298526740388;0,8153415791204994;57,0;112,0;144,0;168,0;4,254054054054054;2,0
